text_index,cluster,source
0,4,GeektimeCorpus-Combined-Deduped
1,4,GeektimeCorpus-Combined-Deduped
2,2,GeektimeCorpus-Combined-Deduped
3,2,GeektimeCorpus-Combined-Deduped
4,4,GeektimeCorpus-Combined-Deduped
5,4,GeektimeCorpus-Combined-Deduped
6,4,GeektimeCorpus-Combined-Deduped
7,4,GeektimeCorpus-Combined-Deduped
8,4,GeektimeCorpus-Combined-Deduped
9,4,GeektimeCorpus-Combined-Deduped
10,4,GeektimeCorpus-Combined-Deduped
11,4,GeektimeCorpus-Combined-Deduped
12,4,GeektimeCorpus-Combined-Deduped
13,7,GeektimeCorpus-Combined-Deduped
14,4,GeektimeCorpus-Combined-Deduped
15,4,GeektimeCorpus-Combined-Deduped
16,4,GeektimeCorpus-Combined-Deduped
17,4,GeektimeCorpus-Combined-Deduped
18,4,GeektimeCorpus-Combined-Deduped
19,4,GeektimeCorpus-Combined-Deduped
20,4,GeektimeCorpus-Combined-Deduped
21,4,GeektimeCorpus-Combined-Deduped
22,4,GeektimeCorpus-Combined-Deduped
23,2,GeektimeCorpus-Combined-Deduped
24,4,GeektimeCorpus-Combined-Deduped
25,4,GeektimeCorpus-Combined-Deduped
26,4,GeektimeCorpus-Combined-Deduped
27,4,GeektimeCorpus-Combined-Deduped
28,4,GeektimeCorpus-Combined-Deduped
29,4,GeektimeCorpus-Combined-Deduped
30,4,GeektimeCorpus-Combined-Deduped
31,4,GeektimeCorpus-Combined-Deduped
32,4,GeektimeCorpus-Combined-Deduped
33,4,GeektimeCorpus-Combined-Deduped
34,4,GeektimeCorpus-Combined-Deduped
35,4,GeektimeCorpus-Combined-Deduped
36,4,GeektimeCorpus-Combined-Deduped
37,4,GeektimeCorpus-Combined-Deduped
38,4,GeektimeCorpus-Combined-Deduped
39,4,GeektimeCorpus-Combined-Deduped
40,2,GeektimeCorpus-Combined-Deduped
41,4,GeektimeCorpus-Combined-Deduped
42,4,GeektimeCorpus-Combined-Deduped
43,2,GeektimeCorpus-Combined-Deduped
44,4,GeektimeCorpus-Combined-Deduped
45,2,GeektimeCorpus-Combined-Deduped
46,4,GeektimeCorpus-Combined-Deduped
47,4,GeektimeCorpus-Combined-Deduped
48,4,GeektimeCorpus-Combined-Deduped
49,4,GeektimeCorpus-Combined-Deduped
50,4,GeektimeCorpus-Combined-Deduped
51,4,GeektimeCorpus-Combined-Deduped
52,4,GeektimeCorpus-Combined-Deduped
53,4,GeektimeCorpus-Combined-Deduped
54,4,GeektimeCorpus-Combined-Deduped
55,4,GeektimeCorpus-Combined-Deduped
56,4,GeektimeCorpus-Combined-Deduped
57,4,GeektimeCorpus-Combined-Deduped
58,4,GeektimeCorpus-Combined-Deduped
59,4,GeektimeCorpus-Combined-Deduped
60,4,GeektimeCorpus-Combined-Deduped
61,2,GeektimeCorpus-Combined-Deduped
62,4,GeektimeCorpus-Combined-Deduped
63,4,GeektimeCorpus-Combined-Deduped
64,4,GeektimeCorpus-Combined-Deduped
65,4,GeektimeCorpus-Combined-Deduped
66,4,GeektimeCorpus-Combined-Deduped
67,4,GeektimeCorpus-Combined-Deduped
68,4,GeektimeCorpus-Combined-Deduped
69,4,GeektimeCorpus-Combined-Deduped
70,4,GeektimeCorpus-Combined-Deduped
71,4,GeektimeCorpus-Combined-Deduped
72,2,GeektimeCorpus-Combined-Deduped
73,4,GeektimeCorpus-Combined-Deduped
74,4,GeektimeCorpus-Combined-Deduped
75,4,GeektimeCorpus-Combined-Deduped
76,4,GeektimeCorpus-Combined-Deduped
