Faculty,Document_Count,% Documents,Total_Size_MB,% Size MB,,,,,,,
לא ידוע,2229,12%,61380.2,42%,,,,,,,
"בית הספר לחינוך,",3325,18%,17820.85,12%,,,,,,,
"החוג לתולדות האומנות,",200,1%,4855.4,3%,,,,,,,
"החוג לפסיכולוגיה,",1349,7%,3839.49,3%,,,,,,,
"בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,",1164,6%,3396.81,2%,,,,,,,
"בית הספר לעבודה סוציאלית ע""ש בוב שאפל,",920,5%,3196.82,2%,,,,,,,
הפקולטה לרפואה.,241,1%,2871.51,2%,,,,,,,
"החוג לסוציולוגיה ולאנתרופולוגיה,",567,3%,2679.62,2%,,,,,,,
"החוג ללימודי עבודה,",547,3%,2550.58,2%,,,,,,,
החוג לפיזיותרפיה,145,1%,2439.66,2%,,,,,,,
"בית הספר למדעי התרבות ע""ש שירלי ולסלי פורטר,",99,1%,2329.33,2%,,,,,,,
"החוג להיסטוריה של עם ישראל,",135,1%,2086.55,1%,,,,,,,
הפקולטה למשפטים,452,2%,1908.97,1%,,,,,,,
"החוג לאומנות התיאטרון,",107,1%,1822.65,1%,,,,,,,
"בית הספר להנדסת חשמל,",176,1%,1552.72,1%,,,,,,,
"בית הספר לכימיה,",252,1%,1406.78,1%,,,,,,,
"החוג למדע המדינה,",252,1%,1319.79,1%,,,,,,,
"החוג לארכיאולוגיה ולתרבויות המזרח הקדום,",81,0%,1298.65,1%,,,,,,,
הפקולטה לאומנויות על שם יולנדה ודוד כץ.,107,1%,1280.06,1%,,,,,,,
החוג לפסיכולוגיה,448,2%,1241.75,1%,,,,,,,
"הפקולטה לרפואה ע""ש סאקלר",742,4%,1202.73,1%,,,,,,,
"בית הספר להנדסה מכנית,",147,1%,1177.5,1%,,,,,,,
"החוג לספרות,",196,1%,1084.1,1%,,,,,,,
"בית הספר לפיסיקה ואסטרונומיה,",143,1%,932.91,1%,,,,,,,
"הפקולטה לאומנויות על שם יולנדה ודוד כץ,",35,0%,802.41,1%,,,,,,,
"החוג למדיניות ציבורית,",240,1%,773.35,1%,,,,,,,
"החוג לספרות עברית,",79,0%,715.49,0%,,,,,,,
"החוג לגיאופיזיקה,",79,0%,692.62,0%,,,,,,,
"החוג לפילוסופיה,",171,1%,679.83,0%,,,,,,,
"החוג לגיאוגרפיה,",50,0%,662.04,0%,,,,,,,
"הפקולטה לרפואה ע""ש סאקלר,",582,3%,647.1,0%,,,,,,,
"בית הספר לפילוסופיה,",30,0%,640.52,0%,,,,,,,
"החוג להיסטוריה כללית,",46,0%,560.08,0%,,,,,,,
"החוג לפיזיותרפיה,",59,0%,478.69,0%,,,,,,,
"המחלקה להנדסה ביו-רפואית,",35,0%,431.84,0%,,,,,,,
"התוכנית ללימודי ביטחון,",118,1%,406.28,0%,,,,,,,
החוג ללימודי עבודה,34,0%,405.75,0%,,,,,,,
"החוג למקרא,",56,0%,384.46,0%,,,,,,,
החוג למדע המדינה,90,0%,380.71,0%,,,,,,,
המחלקה לזואולוגיה,29,0%,363.64,0%,,,,,,,
"החוג להיסטוריה של המזרח התיכון ואפריקה,",49,0%,346.46,0%,,,,,,,
"בית הספר למדעי המתמטיקה,",95,1%,345.57,0%,,,,,,,
החוג לסוציולוגיה ולאנתרופולוגיה,84,0%,324.36,0%,,,,,,,
"החוג לתקשורת,",41,0%,310.83,0%,,,,,,,
בית הספר למדעי הפסיכולוגיה,177,1%,305.63,0%,,,,,,,
"בית הספר לפילוסופיה, בלשנות ולימודי מדע,",36,0%,302.57,0%,,,,,,,
בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,97,1%,292.24,0%,,,,,,,
החוג לאפידמיולוגיה ורפואה מונעת,13,0%,290.41,0%,,,,,,,
"בית הספר לרפואת שיניים על שם מוריס וגבריאלה גולדשלגר,",131,1%,271.32,0%,,,,,,,
"הפקולטה למשפטים ע""ש בוכמן,",75,0%,269.85,0%,,,,,,,
"החוג ללימודי התרבות העברית,",31,0%,269.8,0%,,,,,,,
בית הספר למדעי היהדות,9,0%,268.13,0%,,,,,,,
"המחלקה להנדסת תעשייה,",27,0%,264.01,0%,,,,,,,
"החוג לכלכלה,",154,1%,253.52,0%,,,,,,,
"החוג לסיעוד,",39,0%,227.8,0%,,,,,,,
"בית הספר לכלכלה ע""ש איתן ברגלס",84,0%,215.67,0%,,,,,,,
"החוג ללשון העברית,",38,0%,212.22,0%,,,,,,,
החוג להיסטוריה כללית,22,0%,212.19,0%,,,,,,,
בית הספר לרפואת שיניים על שם מוריס וגבריאלה גולדשלגר,100,1%,205.74,0%,,,,,,,
"החוג להפרעות בתקשורת,",62,0%,197.48,0%,,,,,,,
"בית הספר למדעי התרבות ע""ש שירלי ולסלי פורטר.",12,0%,171.47,0%,,,,,,,
"החוג לפילוסופיה יהודית ותלמוד,",45,0%,166.15,0%,,,,,,,
החוג ללימודי התרבות העברית,1,0%,164.1,0%,,,,,,,
הפקולטה לאומנויות על שם יולנדה ודוד כץ,2,0%,149.39,0%,,,,,,,
"המחלקה לזואולוגיה,",37,0%,149.09,0%,,,,,,,
"המחלקה למדע והנדסה של חומרים,",14,0%,143.73,0%,,,,,,,
"הפקולטה למדעי הרוח,",6,0%,137.42,0%,,,,,,,
"הפקולטה להנדסה,",26,0%,125.81,0%,,,,,,,
"החוג ללימודי הסביבה,",3,0%,125.68,0%,,,,,,,
"בית הספר למדעי התרבות ע""ש שירלי ולסלי פורטר",2,0%,123.35,0%,,,,,,,
"בית הספר להיסטוריה ע""ש ארן.",2,0%,123.33,0%,,,,,,,
החוג לפסיכותרפיה,10,0%,122.95,0%,,,,,,,
"Department of Communication Disorders,",39,0%,120.14,0%,,,,,,,
"החוג לסטטיסטיקה וחקר ביצועים,",11,0%,119.9,0%,,,,,,,
החוג לסיעוד,61,0%,117,0%,,,,,,,
"החוג ללימודים קלאסיים,",8,0%,111.87,0%,,,,,,,
החוג לספרות עברית,1,0%,110.95,0%,,,,,,,
The Iby and Aladar Fleischman Faculty of Engineering,1,0%,109.92,0%,,,,,,,
"הפקולטה לרפואה ע""ש סאקלר.",50,0%,107.62,0%,,,,,,,
החוג לתולדות האומנות,1,0%,104.57,0%,,,,,,,
"מגמת המזה""ת ואפריקה",1,0%,100.59,0%,,,,,,,
