Faculty,Document_Count,Total_Size_MB
לא ידוע,2229,61380.2
"בית הספר לחינוך,",3325,17820.85
"החוג לתולדות האומנות,",200,4855.4
"החוג לפסיכולוגיה,",1349,3839.49
"בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,",1164,3396.81
"בית הספר לעבודה סוציאלית ע""ש בוב שאפל,",920,3196.82
הפקולטה לרפואה.,241,2871.51
"החוג לסוציולוגיה ולאנתרופולוגיה,",567,2679.62
"החוג ללימודי עבודה,",547,2550.58
החוג לפיזיותרפיה,145,2439.66
"בית הספר למדעי התרבות ע""ש שירלי ולסלי פורטר,",99,2329.33
"החוג להיסטוריה של עם ישראל,",135,2086.55
הפקולטה למשפטים,452,1908.97
"החוג לאומנות התיאטרון,",107,1822.65
"בית הספר להנדסת חשמל,",176,1552.72
"בית הספר לכימיה,",252,1406.78
"החוג למדע המדינה,",252,1319.79
"החוג לארכיאולוגיה ולתרבויות המזרח הקדום,",81,1298.65
הפקולטה לאומנויות על שם יולנדה ודוד כץ.,107,1280.06
החוג לפסיכולוגיה,448,1241.75
"הפקולטה לרפואה ע""ש סאקלר",742,1202.73
"בית הספר להנדסה מכנית,",147,1177.5
"החוג לספרות,",196,1084.1
"בית הספר לפיסיקה ואסטרונומיה,",143,932.91
"הפקולטה לאומנויות על שם יולנדה ודוד כץ,",35,802.41
"החוג למדיניות ציבורית,",240,773.35
"החוג לספרות עברית,",79,715.49
"החוג לגיאופיזיקה,",79,692.62
"החוג לפילוסופיה,",171,679.83
"החוג לגיאוגרפיה,",50,662.04
"הפקולטה לרפואה ע""ש סאקלר,",582,647.1
"בית הספר לפילוסופיה,",30,640.52
"החוג להיסטוריה כללית,",46,560.08
"החוג לפיזיותרפיה,",59,478.69
"המחלקה להנדסה ביו-רפואית,",35,431.84
"התוכנית ללימודי ביטחון,",118,406.28
החוג ללימודי עבודה,34,405.75
"החוג למקרא,",56,384.46
החוג למדע המדינה,90,380.71
המחלקה לזואולוגיה,29,363.64
"החוג להיסטוריה של המזרח התיכון ואפריקה,",49,346.46
"בית הספר למדעי המתמטיקה,",95,345.57
החוג לסוציולוגיה ולאנתרופולוגיה,84,324.36
"החוג לתקשורת,",41,310.83
בית הספר למדעי הפסיכולוגיה,177,305.63
"בית הספר לפילוסופיה, בלשנות ולימודי מדע,",36,302.57
בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,97,292.24
החוג לאפידמיולוגיה ורפואה מונעת,13,290.41
"בית הספר לרפואת שיניים על שם מוריס וגבריאלה גולדשלגר,",131,271.32
"הפקולטה למשפטים ע""ש בוכמן,",75,269.85
"החוג ללימודי התרבות העברית,",31,269.8
בית הספר למדעי היהדות,9,268.13
"המחלקה להנדסת תעשייה,",27,264.01
"החוג לכלכלה,",154,253.52
"החוג לסיעוד,",39,227.8
"בית הספר לכלכלה ע""ש איתן ברגלס",84,215.67
"החוג ללשון העברית,",38,212.22
החוג להיסטוריה כללית,22,212.19
בית הספר לרפואת שיניים על שם מוריס וגבריאלה גולדשלגר,100,205.74
"החוג להפרעות בתקשורת,",62,197.48
"בית הספר למדעי התרבות ע""ש שירלי ולסלי פורטר.",12,171.47
"החוג לפילוסופיה יהודית ותלמוד,",45,166.15
החוג ללימודי התרבות העברית,1,164.1
הפקולטה לאומנויות על שם יולנדה ודוד כץ,2,149.39
"המחלקה לזואולוגיה,",37,149.09
"המחלקה למדע והנדסה של חומרים,",14,143.73
"הפקולטה למדעי הרוח,",6,137.42
"הפקולטה להנדסה,",26,125.81
"החוג ללימודי הסביבה,",3,125.68
"בית הספר למדעי התרבות ע""ש שירלי ולסלי פורטר",2,123.35
"בית הספר להיסטוריה ע""ש ארן.",2,123.33
החוג לפסיכותרפיה,10,122.95
"Department of Communication Disorders,",39,120.14
"החוג לסטטיסטיקה וחקר ביצועים,",11,119.9
החוג לסיעוד,61,117.0
"החוג ללימודים קלאסיים,",8,111.87
החוג לספרות עברית,1,110.95
The Iby and Aladar Fleischman Faculty of Engineering,1,109.92
"הפקולטה לרפואה ע""ש סאקלר.",50,107.62
החוג לתולדות האומנות,1,104.57
"מגמת המזה""ת ואפריקה",1,100.59
החוג לכלכלה,7,97.31
החוג לגנטיקה,1,94.93
החוג להפרעות בתקשורת,44,84.9
"המחלקה לכימיה,",9,83.47
"התוכנית להנדסת סביבה,",8,79.29
"בית הספר למדעי הפסיכולוגיה,",5,74.26
"בית הספר למדע המדינה, ממשל ויחסים בינלאומיים",31,72.13
בית הספר להנדסת חשמל,6,65.49
בית הספר לפילוסופיה.,2,61.94
החוג למדעי הצמח,5,59.07
"התוכנית למדעי הדתות,",12,56.34
החוג לרפואה כללית,12,54.59
החוג לקולנוע וטלויזיה,10,51.38
המחלקה למדע והנדסה של חומרים,3,48.04
"החוג לסטטיסטיקה,",8,47.97
הפקולטה להנדסה.,9,45.41
בית הספר לפילוסופיה,1,45.38
החוג לפיזיולוגיה ולפרמקולוגיה,19,45.1
"התוכנית ללימודי נשים ומגדר,",27,43.96
"החוג לארצות מתפתחות,",13,39.15
ha-hug lepsikhi'atriyah,2,37.82
"החוג למתמטיקה,",16,37.69
"החוג לבלשנות,",18,37.61
החוג לגנטיקה מולקולרית של האדם וביוכימיה,12,37.07
"בית הספר לעבודה סוציאלית ע""ש בוב שאפל",29,35.24
"המכון להיסטוריה ופילוסופיה של המדעים והרעיונות ע""ש כהן",1,35.02
החוג למיקרוביולוגיה ואימונולוגיה קלינית,9,34.6
"בית הספר למדעי המחשב,",6,34.29
