ID,Title,Faculty,Size
9932931695604146,מערכות מורכבות והאסטרטגיה הנרטיבית בסרטיו של קוונטין טרנטינו /,הפקולטה לאומנויות על שם יולנדה ודוד כץ.,2038897
9932911799604146,השפעת תחלואה בתת תריסיות קלינית וסאב-קלינית על תחלואה בקרב חולי סכיזופרניה ‏/‏,"הפקולטה לרפואה ע""ש סאקלר,",546272
9933375412204146,"""העסק הוא כמו הבן שלי"" : יזמיות דרוזיות בין שימור לשינוי /","התוכנית ללימודי נשים ומגדר,",1274323
990010279790204146,יסודות מבניים ודרכי הריטוריקה ביצירת בן-נר /,"החוג לספרות עברית,",3263126
9932941296804146,המרכז הנפתי - אשקלון כמוקד לתיפקודים על-מקומיים /,"החוג למדיניות ציבורית,",1262679
9932934294404146,השפעת עומס יתר על רמת הסוכר בדם : עושר עיסוקי ותמיכה חברתית כמשתנים ממתנים /,"בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,",817732
9932913175904146,החלבון פרוקולגן-C פרוטאינז אנהנסר (PCPE-1) כסמן חדש לפיברוזיס /,"החוג לגנטיקה מולקולרית של האדם וביוכימיה,",2860471
990020477310204146,"Reason not : פניות לרגש בדרמה השיקספירית : על פי המחזות הנרי החמישי, יוליוס קיסר, אותלו וקוריולאנוס /",לא ידוע,2272492
990020230930204146,הקשר בין א-אינטגרציה לבין אמונה והתנהגות דתית /,החוג לפסיכולוגיה,2936038
990020255590204146,"סיפוחים אלקטרופיליים לגלוקאלים, ל-2-ויניל גלוקאלים ולויניל אתרים סוכריים - מחקרים לקראת פילמור קטיוני חי שלהם","בית הספר לכימיה,",83941
9932934188204146,עיונים במזמורים הלאומיים בספר תהלים /,לא ידוע,202902463
9932925788504146,פיתוח מודל לשינוי מערכת ההוראה לגיל הרך באמצעות תוכנית לימודים במדע /,"בית הספר לחינוך,",3226218
9932938899504146,האם תחליפי עצם הטעונים באנטיביוטיקה עמידים יותר בפני זיהום חיידקי? : (סקירת ספרות) /,"בית הספר לרפואת שיניים על שם מוריס וגבריאלה גולדשלגר,",1409989
990011347430204146,תפוצת ה-Pied Piping במבני wh /,"החוג לבלשנות,",2005139
990020693790204146,"הקיבוץ המאוחד ומדינת ישראל 1948-1955 : בין ""ריאליזם אוטופי"" ל""ריאליזם ממלכתי"" /",לא ידוע,3401645
9932925594104146,מנהיגות מתמירה וביצוע : השפעת המנהיגות המתמירה של מפקדי מחלקות על הישגי טירוניהם /,"החוג לפסיכולוגיה,",2618716
9932939497304146,השפעת גודל הקטגוריה החברתית על ההתנהגות במשחקי מעבדה /,"החוג לפסיכולוגיה,",613036
990011701360204146,עיון תחבירי וסימנטי בפעלים גזורי שם במקרא /,"החוג ללשון העברית,",1618865
9932931693804146,מה ישע יבקש ואי מזה יבקשהו? : מעורבות יהודים מחדייב וממסופוטמיה - במרד הגדול ברומאים /,"החוג להיסטוריה כללית,",3229183
9932911795104146,"ביטוי CEA ו-kappaB- NF במעי גס ורקטום : השוואה בין רקמה סרטנית לבריאה סמוכה, ולרקמת מעי דלקתית - מחקר מעבדתי ברקמות הומאניות ‏/‏","הפקולטה לרפואה ע""ש סאקלר,",1891648
9932939397404146,"הערכות צה""ל בנושא הפרישה /","החוג למדיניות ציבורית,",2190001
9932913099304146,בחינת התוצאים של חולים עם ממאירות העוברים השתלת מסתם אאורטלי בגישה מלעורית (TAVI)  ‏/‏,"הפקולטה לרפואה ע""ש סאקלר,",409620
9932913173004146,"גורמי סיכון להתפרצות פסיכוזה בקרב בעלי תסמונת חך-לב-פנים (חל""פ) בהשוואה לבעלי תסמונת וויליאמס ולבעלי התפתחות תקינה /",ha-hug lepsikhi'atriyah,2592134
9932931588604146,מודל לבחינת עלויות לאחזקת מחשבים /,"בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,",3598907
990011434190204146,הציפור בפסיפס הרומי-ביזנטי /,לא ידוע,8506703
9932911690204146,"השימוש במיזופרוסטול להפסקת הריון בטרימסטר שני, בנשים עם ניתוח קיסרי בעברן : מחקר עוקבה רטרוספקטיבי  ‏/‏","הפקולטה לרפואה ע""ש סאקלר,",661472
990019255330204146,הבדלים בין המינים במציאת משמעות בחיים וסיפוק מטיפול בבן/בת זוג הסובל/ת מדמנציה /,"בית הספר לעבודה סוציאלית ע""ש בוב שאפל,",10494819
990006085040204146,השפעתה של חשיפה חוזרת לאירועים טראומטיים : התמודדות ניצולי שואה עם מחלת הסרטן /,"בית הספר לעבודה סוציאלית ע""ש בוב שאפל,",7592192
9932927395504146,כלים ואסטרטגיות לישום מרכז מידע בארגון : ישום כתהליך של שינוי בארגון /,"בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,",30116474
9932925790204146,תכנון אזורים עירוניים חדשים : הצעה לרשת תחבורה יעילה /,"בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,",1890307
9932913099004146,כוונות תקשורת של המילים הראשונות בקרב ילדים עם התפתחות טיפוסית וילדים עם לקות הרצף האוטיסטי  ‏/‏,"הפקולטה לרפואה ע""ש סאקלר,",1669779
9932932498904146,טכניקות קוליות מורחבות במוסיקה המקהלתית של המאה העשרים /,"החוג למוסיקולוגיה,",2897395
9932924599904146,"מרווחה לתכנון : חלוציות, התמקצעות ומיסוד של תחום הנגישות לאנשים עם מוגבלות בעיריית תל-אביב-יפו /","החוג לסוציולוגיה ולאנתרופולוגיה,",1517556
9932939398904146,"יחסי הגומלין בין העיתונות ודו""ח מבקר המדינה /","החוג למדיניות ציבורית,",1213233
9932941400204146,ערכת אבחון ממוחשבת להערכת פרופריוצפציה ותכנון תנועה עבור ילדים עם סרבול מוטורי : בדיקת מהימנות ותוקף - מחקר חלוץ ‏/‏,הפקולטה לרפואה.,5372248
9932919496904146,גורמי הלחץ המאפיינים את שלב טרום הנסיעה בקרב מוצבים ותופעת ה-crossover בין בני זוג בשלב זה /,"בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,",1085131
9932930799104146,מדיניות אנרגיה - ניתוח ארוע : השימוש בפחם במדינת ישראל /,"החוג למדע המדינה,",2295618
990011780700204146,הציונות הדתית והבעיה הערבית בשנים 1928-1936 /,"החוג להיסטוריה של עם ישראל,",2728486
9932924300304146,המדיניות הצרפתית בלבנט ויחסה ללאומיות הערבית ולציונות בין השנים 1920-1914 /,לא ידוע,118490183
990032734130204146,מיחדוש בשדה האופנה בישראל : בין פרקטיקה סביבתית לאידאולוגיה מקיימת /,לא ידוע,1364475
9932930797604146,"תנועה תפקידית בארגון והשפעתה על תחושות, עמדות ורמת ביצוע של אחיות מוסמכות בבית-חולים /","החוג ללימודי עבודה,",1732400
9932915499404146,יצירתיות כמנבא של הצלחה בהוראה /,"בית הספר לחינוך,",1607375
9932941294004146,אקולוגיה של חרם חברתי בבתי ספר בישראל /,"החוג לסוציולוגיה ולאנתרופולוגיה,",2116750
990019505070204146,"השפעתם של מאפיינים אישיותיים, קוגניטיביים וסוציו-דמוגרפיים על השימוש בחומרים פסיכואקטיביים, בקרב מטיילים ישראלים במזרח הרחוק /","בית הספר לחינוך,",3146291
990006091040204146,חווית הקרבה למוות : מחקר אנתרופולוגי בקרב זקנים בבית אבות /,החוג לסוציולוגיה ולאנתרופולוגיה,2496610
9932934499404146,מנבאים של הופעת רעלת חמורה בנשים בהריון עם הפרעת לחץ-דם ‏/‏,"הפקולטה לרפואה ע""ש סאקלר,",704925
9932933191904146,"תפיסת מורים, פעילי הסתדרות המורים, את מידת הפער שבין החשיבות המצויה לחשיבות הרצויה של מטרות ארגונם /","החוג ללימודי עבודה,",1842382
990013854420204146,הפואמה הביאליקאית : המהפכה שחולל ביאליק בז'אנר של הפואמה העברית /,לא ידוע,96927242
990019862630204146,"ה""קרקס המשפחתי"" : שואה, טראומה ויהדות ביצירתו של דנילו קיש /","החוג לספרות,",2619408
9932919485404146,פעילות תושבי שכונת עוני בתנאי אי-ודאות : ניתוח מקרה של התישבות בלתי-חוקית (squatter settlement) בתל-אביב-יפו /,"החוג לסוציולוגיה ולאנתרופולוגיה,",1518363
990006038530204146,משא ומתן באמצעות המחשב : השוואה אמפירית עם משא ומתן פנים אל פנים /,"בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,",11146115
9932941296304146,השפעת הגורמים המושכים והדוחפים על הקשר שבין ותק ונטייה לעזיבה /,"בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,",2102348
9932915499904146,"תכניות לימודים ב""לימודי החברה"" לאור תפיסת המושג ""מדעי החברה"" /","בית הספר לחינוך,",2579588
9932939296704146,"חזיון יוהאנס מלייז' : היצירה במכלול ספרות החזיונות במאה ה-י""א עד המאה ה-י""ג /",לא ידוע,97249883
9932932597904146,"עמדות לגבי אפשרות יישום דגמים קואופרטיביים חקלאיים ישראליים (מושב עובדים, מושב שתופי, קבוץ) במדינות אמריקה הלטינית /","החוג ללימודי עבודה,",2499345
